date,mosquito_Indicator,rain(mm),mean_T(℃),min_T(℃),max_T(℃)
2015-05-01,"2,783",0.0,21.0,15.9,27.2
2015-05-02,"2,729",0.5,20.7,15.8,26.0
2015-05-03,"2,998",3.5,18.3,17.1,19.6
2015-05-04,"3,392",0.0,16.1,12.5,20.1
2015-05-05,"3,137",0.0,14.2,8.3,19.9
2015-05-06,"2,849",0.0,15.4,9.8,22.0
2015-05-07,"2,819",0.0,16.5,10.6,24.0
2015-05-08,"2,926",0.0,16.7,11.7,22.7
2015-05-09,,0.0,17.6,12.6,24.0
2015-05-10,,0.0,19.1,13.5,25.9
2015-05-11,,14.0,18.4,14.4,24.1
2015-05-12,"1,713",9.5,13.3,10.3,17.5
2015-05-13,"2,323",0.0,17.4,11.8,21.4
2015-05-14,"5,430",0.0,20.4,15.3,26.6
2015-05-15,"8,425",0.0,19.1,16.3,23.7
2015-05-16,"3,935",0.0,18.0,11.6,25.2
2015-05-17,"6,276",0.0,18.6,11.7,25.2
2015-05-18,"7,851",0.0,17.7,13.7,22.2
2015-05-19,"10,366",1.0,14.8,13.0,16.2
2015-05-20,"2,926",0.0,16.3,10.6,21.9
2015-05-21,"16,089",0.0,18.7,12.6,26.0
2015-05-22,"3,450",0.0,20.0,13.7,27.2
2015-05-23,"3,479",0.0,20.6,13.6,28.3
2015-05-24,"10,082",0.0,21.0,14.0,28.5
2015-05-25,"10,540",0.0,20.8,14.4,28.7
2015-05-26,"5,488",0.0,21.5,14.1,30.3
2015-05-27,"4,262",0.0,23.2,14.4,31.5
2015-05-28,"4,636",0.0,24.3,16.7,32.2
2015-05-29,"16,214",0.0,23.8,18.5,29.8
2015-05-30,"5,448",0.4,19.8,17.0,23.2
2015-05-31,"5,350",0.0,22.1,15.3,30.4
2015-06-01,"10,706",0.0,21.7,15.8,28.5
2015-06-02,"4,828",0.0,23.1,18.1,29.8
2015-06-03,"4,857",0.0,23.3,17.1,29.4
2015-06-04,"3,269",0.0,24.2,17.1,31.5
2015-06-05,"3,304",1.0,19.1,17.5,22.0
2015-06-06,"3,455",0.0,22.4,16.4,28.9
2015-06-07,"3,721",0.0,23.4,18.7,31.5
2015-06-08,"3,440",0.0,22.4,18.2,27.8
2015-06-09,"3,466",0.0,22.2,18.8,28.1
2015-06-10,"3,161",0.0,25.3,17.6,34.9
2015-06-11,"3,713",7.5,24.6,20.7,30.2
2015-06-12,"3,399",0.5,23.6,19.4,29.9
2015-06-13,"4,172",0.5,24.7,20.1,30.9
2015-06-14,"5,474",15.5,22.8,17.8,27.7
2015-06-15,"4,680",0.0,24.2,19.6,30.6
2015-06-16,"4,599",0.0,25.0,20.0,30.9
2015-06-17,"4,662",9.5,23.4,20.2,30.8
2015-06-18,"4,421",3.0,24.8,19.6,31.3
2015-06-19,"3,577",0.0,24.5,20.0,29.9
2015-06-20,"4,412",44.5,19.6,17.0,22.6
2015-06-21,"3,039",0.0,22.4,15.6,29.6
2015-06-22,"4,497",0.0,24.0,19.4,29.1
2015-06-23,"6,747",0.0,24.7,19.7,31.0
2015-06-24,"4,712",0.0,25.7,21.1,30.6
2015-06-25,"4,104",2.0,24.8,21.0,29.1
2015-06-26,"5,243",12.5,21.0,18.0,25.3
2015-06-27,"4,730",0.0,25.2,19.2,31.1
2015-06-28,"5,286",0.0,25.4,21.0,31.1
2015-06-29,"7,108",0.0,25.7,21.2,30.6
2015-06-30,"7,146",2.5,24.4,21.9,29.2
2015-07-01,"8,700",0.5,23.7,21.0,27.9
2015-07-02,"9,520",0.0,23.7,20.4,29.3
2015-07-03,"11,659",0.0,23.3,19.2,28.3
2015-07-04,"8,229",0.0,24.1,18.2,29.9
2015-07-05,"7,150",0.0,24.2,20.1,29.6
2015-07-06,"8,613",0.0,25.3,20.2,32.5
2015-07-07,"8,141",0.0,25.6,21.4,29.7
2015-07-08,"6,335",0.5,23.4,20.7,26.3
2015-07-09,"7,024",0.0,26.5,22.1,31.8
2015-07-10,"7,240",0.0,29.2,23.6,34.3
2015-07-11,"6,338",0.0,30.4,25.7,36.0
2015-07-12,"5,818",29.0,24.8,24.0,28.0
2015-07-13,"6,278",10.0,23.1,21.4,24.9
2015-07-14,"6,505",0.0,26.1,22.5,31.4
2015-07-15,"6,136",0.0,27.9,22.7,33.9
2015-07-16,"4,380",0.0,24.7,20.6,28.9
2015-07-17,"4,200",0.0,23.6,18.4,28.6
2015-07-18,"5,005",0.5,24.3,22.3,27.8
2015-07-19,"5,225",5.0,25.1,21.3,29.8
2015-07-20,,0.0,27.5,24.4,31.2
2015-07-21,"5,753",11.0,27.0,24.6,29.6
2015-07-22,"5,426",1.0,27.7,25.3,31.7
2015-07-23,"4,390",16.0,26.9,24.9,32.1
2015-07-24,"6,509",26.5,24.7,22.6,25.4
2015-07-25,"5,340",80.0,25.0,24.4,26.4
2015-07-26,"5,065",40.5,26.0,23.5,30.0
2015-07-27,"3,947",1.5,26.2,24.4,30.0
2015-07-28,"5,054",0.0,27.7,24.6,31.2
2015-07-29,"4,615",4.0,26.7,24.8,28.8
2015-07-30,"5,203",0.0,28.6,25.5,33.1
2015-07-31,"5,598",0.0,27.9,26.2,32.4
2015-08-01,"11,746",0.0,28.2,26.0,31.6
2015-08-02,"7,186",16.5,26.5,24.1,29.2
2015-08-03,"8,809",0.0,27.9,25.6,31.5
2015-08-04,"6,972",0.0,27.5,25.4,30.8
2015-08-05,"4,902",0.1,28.6,25.9,32.7
2015-08-06,"4,832",0.0,29.3,24.5,34.4
2015-08-07,"5,335",11.0,28.9,26.0,34.4
2015-08-08,"5,799",7.5,26.6,24.3,33.0
2015-08-09,"4,441",0.0,26.7,23.3,31.0
2015-08-10,"5,086",0.0,27.0,23.9,32.0
2015-08-11,"5,275",0.0,26.8,24.5,30.6
2015-08-12,"6,053",0.0,27.3,22.1,32.9
2015-08-13,"7,524",0.0,26.5,23.9,31.1
2015-08-14,"8,846",0.0,26.9,22.7,32.5
2015-08-15,"8,844",0.1,27.1,23.1,30.8
2015-08-16,"7,406",29.0,25.8,20.7,31.2
2015-08-17,"6,111",0.0,26.6,19.8,32.9
2015-08-18,"6,120",0.0,27.9,24.1,32.2
2015-08-19,"5,487",0.0,26.8,24.2,29.7
2015-08-20,"4,602",0.4,25.4,24.2,28.1
2015-08-21,"4,799",2.5,25.2,23.0,29.3
2015-08-22,"5,413",0.0,25.5,23.4,29.6
2015-08-23,"7,639",0.0,26.3,20.9,31.7
2015-08-24,"7,337",0.0,26.3,23.3,30.3
2015-08-25,"4,678",5.5,21.7,19.2,24.5
2015-08-26,"9,949",0.0,21.9,18.9,25.3
2015-08-27,"9,093",0.0,24.7,21.2,30.0
2015-08-28,"8,316",0.3,23.2,19.0,28.1
2015-08-29,"6,635",0.0,24.4,19.0,30.8
2015-08-30,"7,532",0.0,24.9,19.9,31.0
2015-08-31,"7,674",0.0,25.9,21.0,31.2
2015-09-01,"5,831",0.0,25.9,22.6,30.7
2015-09-02,"4,541",0.5,23.9,22.0,27.7
2015-09-03,"4,794",18.0,23.9,19.8,28.2
2015-09-04,"5,408",0.0,24.8,20.6,30.7
2015-09-05,"7,523",5.0,21.9,19.4,23.6
2015-09-06,"4,481",0.0,22.2,19.3,26.2
2015-09-07,"4,242",0.0,22.6,16.8,28.7
2015-09-08,"4,475",0.0,22.7,16.2,28.9
2015-09-09,"3,880",0.0,22.4,15.3,30.1
2015-09-10,"3,629",0.0,22.4,17.0,28.4
2015-09-11,"3,675",2.5,21.0,16.8,24.4
2015-09-12,"4,924",0.0,19.2,15.5,24.0
2015-09-13,"4,670",0.0,20.2,15.2,26.0
2015-09-14,,0.0,22.1,16.4,27.8
2015-09-15,,0.0,22.8,17.4,28.7
2015-09-16,"3,822",0.0,21.6,16.0,26.7
2015-09-17,"2,987",0.0,21.4,15.5,27.6
2015-09-18,"3,089",0.0,21.9,15.9,29.2
2015-09-19,"3,493",0.0,22.3,17.0,29.0
2015-09-20,"3,452",0.0,22.1,17.9,28.3
2015-09-21,"3,704",0.0,22.6,16.5,29.4
2015-09-22,"3,825",0.0,23.9,18.0,31.0
2015-09-23,"4,074",0.0,22.0,19.0,26.1
2015-09-24,"3,084",0.0,23.4,17.5,30.6
2015-09-25,"3,192",0.0,23.4,19.0,29.8
2015-09-26,"3,533",0.0,22.4,17.9,28.0
2015-09-27,"3,155",0.0,21.9,14.2,29.8
2015-09-28,"3,593",0.0,21.4,15.5,28.3
2015-09-29,"3,842",0.0,22.1,15.9,28.2
2015-09-30,"4,161",0.0,21.3,19.4,26.2
2015-10-01,"3,169",35.0,16.3,10.7,19.7
2015-10-02,980,0.0,16.5,8.6,21.5
2015-10-03,"5,026",0.0,19.2,13.3,24.5
2015-10-04,"2,571",0.0,16.6,11.2,22.4
2015-10-05,"2,453",0.0,18.0,11.0,25.6
2015-10-06,"1,902",0.0,18.7,12.1,26.3
2015-10-07,"2,386",0.0,19.6,14.1,25.7
2015-10-08,"1,959",0.0,20.1,15.7,26.4
2015-10-09,"1,935",0.0,16.2,12.8,20.5
2015-10-10,"1,466",3.5,12.8,10.4,17.2
2015-10-11,560,3.5,10.8,8.1,14.4
2015-10-12,394,0.0,12.3,8.2,17.9
2015-10-13,898,0.0,15.0,7.8,21.3
2015-10-14,"1,524",0.0,17.1,10.9,24.5
2015-10-15,"1,599",0.0,17.9,12.1,26.1
2015-10-16,"1,745",0.0,17.5,13.2,24.2
2015-10-17,"1,821",0.0,18.7,12.4,26.6
2015-10-18,"2,028",0.0,17.9,12.4,24.2
2015-10-19,"2,131",0.0,18.1,13.6,23.9
2015-10-20,"2,489",0.0,18.8,15.4,25.1
2015-10-21,"2,338",0.0,17.9,13.9,22.7
2015-10-22,"2,604",0.0,17.5,14.5,23.1
2015-10-23,"2,422",0.0,17.5,15.2,21.4
2015-10-24,"4,177",10.5,16.9,13.2,22.0
2015-10-25,"2,153",0.0,16.3,12.1,22.8
2015-10-26,"1,785",2.0,15.0,12.0,18.7
2015-10-27,"1,212",26.5,12.1,7.7,15.9
2015-10-28,252,0.0,9.9,5.6,15.8
2015-10-29,326,0.5,8.4,3.2,14.7
2015-10-30,151,0.0,5.4,1.7,10.4
2015-10-31,27,0.0,5.7,1.1,12.3
2016-05-01,,0.0,18.8,12.2,26.0
2016-05-02,,16.5,21.1,16.5,28.4
2016-05-03,"2,123",27.0,12.9,8.9,17.6
2016-05-04,200,0.0,15.7,10.2,20.6
2016-05-05,"1,965",7.5,18.9,10.2,26.9
2016-05-06,"2,687",9.5,16.3,13.0,18.6
2016-05-07,"1,228",0.0,16.5,10.7,22.6
2016-05-08,"2,381",0.0,19.4,11.6,26.8
2016-05-09,"2,709",0.0,20.2,16.3,25.4
2016-05-10,"2,182",13.5,14.5,12.5,18.1
2016-05-11,"1,883",0.0,16.4,10.4,23.5
2016-05-12,"2,376",0.0,17.8,12.1,24.0
2016-05-13,"1,942",0.5,18.6,12.7,25.4
2016-05-14,"2,838",0.0,20.2,15.1,26.9
2016-05-15,"3,341",45.0,17.4,12.3,24.2
2016-05-16,"3,673",2.5,15.9,10.8,21.9
2016-05-17,"3,103",0.0,19.3,10.9,26.6
2016-05-18,"7,318",0.0,22.3,13.5,29.5
2016-05-19,"3,896",0.0,24.3,16.3,31.9
2016-05-20,"4,433",0.0,24.0,16.8,31.6
2016-05-21,"5,112",0.0,24.1,17.8,30.4
2016-05-22,"9,818",0.0,24.7,17.6,31.7
2016-05-23,"6,076",0.0,23.3,18.3,29.4
2016-05-24,"5,532",38.5,16.8,15.4,21.8
2016-05-25,"6,788",0.0,19.7,15.3,24.4
2016-05-26,"5,275",0.0,19.4,17.5,22.9
2016-05-27,"5,975",0.0,20.9,14.8,27.1
2016-05-28,"6,949",0.0,21.7,17.2,28.0
2016-05-29,"6,220",0.0,21.5,17.2,27.6
2016-05-30,"5,910",0.0,22.1,16.9,28.9
2016-05-31,"5,403",0.0,21.6,17.4,27.6
2016-06-01,"6,230",0.0,23.3,17.1,29.9
2016-06-02,"6,029",0.0,23.2,17.2,29.1
2016-06-03,"9,643",0.0,22.2,17.6,27.7
2016-06-04,"7,316",0.0,21.2,18.2,26.3
2016-06-05,"8,140",0.0,24.7,17.3,32.2
2016-06-06,"26,441",0.0,23.3,20.8,28.4
2016-06-07,"15,775",0.1,21.7,19.6,25.9
2016-06-08,"6,958",0.0,22.1,18.2,27.7
2016-06-09,"7,232",0.0,24.1,17.8,31.3
2016-06-10,"6,237",0.0,24.6,20.2,31.3
2016-06-11,"5,676",3.0,23.5,20.9,26.5
2016-06-12,"5,469",1.5,23.5,19.9,26.7
2016-06-13,"6,247",0.0,23.5,19.4,29.6
2016-06-14,"5,100",0.0,23.8,19.7,29.5
2016-06-15,"4,112",15.5,20.9,17.4,24.5
2016-06-16,"3,632",0.0,20.9,18.6,24.9
2016-06-17,"5,415",0.0,23.8,18.6,29.1
2016-06-18,"5,483",0.0,24.5,20.1,29.9
2016-06-19,"7,859",0.0,24.1,20.3,29.3
2016-06-20,"6,398",0.0,24.7,19.6,30.7
2016-06-21,"6,400",0.0,26.0,21.0,31.3
2016-06-22,"6,213",30.5,24.3,20.9,30.2
2016-06-23,"7,008",0.1,24.7,19.6,29.4
2016-06-24,"7,509",3.5,23.1,21.1,25.7
2016-06-25,"7,299",0.0,22.8,19.2,26.7
2016-06-26,"7,687",0.0,24.4,19.4,30.3
2016-06-27,"8,328",0.0,24.4,19.9,29.5
2016-06-28,"7,782",0.0,24.7,20.4,29.7
2016-06-29,"7,621",0.0,25.3,20.9,30.2
2016-06-30,"7,125",0.2,24.6,23.0,26.9
2016-07-01,"8,079",108.5,24.0,22.0,26.6
2016-07-02,"6,990",4.0,23.5,20.6,27.7
2016-07-03,"10,183",0.0,23.5,21.1,26.8
2016-07-04,"5,468",29.5,21.8,20.2,24.1
2016-07-05,"4,824",100.5,23.1,20.2,24.8
2016-07-06,"3,581",0.0,22.9,20.3,26.9
2016-07-07,"4,222",0.0,24.0,20.1,28.5
2016-07-08,"4,334",0.0,27.3,21.2,32.4
2016-07-09,"5,191",0.0,27.7,23.2,32.7
2016-07-10,"4,574",0.0,27.9,23.2,33.1
2016-07-11,"5,063",0.0,28.4,24.8,33.4
2016-07-12,"5,216",3.0,26.3,22.1,30.9
2016-07-13,"4,264",0.0,26.3,23.2,29.5
2016-07-14,"4,431",0.1,27.5,24.0,32.4
2016-07-15,"5,017",1.5,26.2,23.7,29.2
2016-07-16,"4,533",46.5,20.8,19.8,23.8
2016-07-17,"6,677",2.5,21.7,20.4,23.1
2016-07-18,"3,866",0.2,24.4,20.7,28.4
2016-07-19,"5,044",0.0,27.1,20.9,32.4
2016-07-20,"6,188",0.0,28.6,24.0,32.9
2016-07-21,"6,285",0.0,28.3,24.9,32.2
2016-07-22,"6,162",0.0,29.1,25.3,34.1
2016-07-23,"13,430",0.5,28.7,27.2,31.6
2016-07-24,"5,784",0.5,28.0,27.0,30.1
2016-07-25,"6,949",0.0,28.4,26.4,31.4
2016-07-26,"8,177",0.0,28.4,25.6,31.9
2016-07-27,"8,799",0.5,27.6,26.7,28.9
2016-07-28,"12,958",0.2,28.0,26.7,30.5
2016-07-29,"7,497",59.5,26.3,23.4,28.4
2016-07-30,"6,249",0.5,28.6,26.4,33.0
2016-07-31,"5,928",0.2,28.9,26.6,32.8
2016-08-01,"5,175",0.0,28.4,25.8,32.4
2016-08-02,"7,386",2.0,27.2,25.0,31.1
2016-08-03,"3,874",0.0,29.1,24.0,34.2
2016-08-04,"4,986",0.0,30.7,26.0,35.7
2016-08-05,"4,885",0.0,31.2,26.5,36.0
2016-08-06,"5,508",0.0,30.5,26.6,34.0
2016-08-07,"3,913",0.0,30.6,27.0,35.0
2016-08-08,"7,906",0.0,30.5,26.4,35.5
2016-08-09,"7,106",1.0,29.3,26.4,33.6
2016-08-10,"13,827",0.0,29.4,26.1,34.8
2016-08-11,"10,661",0.0,30.5,26.1,36.4
2016-08-12,"19,309",0.0,30.4,26.4,35.9
2016-08-13,"7,335",0.0,30.2,26.8,35.1
2016-08-14,"8,356",0.2,28.9,27.3,31.8
2016-08-15,"9,036",0.0,29.1,25.8,34.0
2016-08-16,"8,681",0.5,29.3,26.2,34.9
2016-08-17,"6,020",0.0,29.9,25.1,34.7
2016-08-18,"4,876",0.0,29.9,26.2,34.3
2016-08-19,"4,564",11.5,28.9,26.6,33.2
2016-08-20,"4,077",0.0,30.1,26.5,34.9
2016-08-21,"4,238",0.0,30.7,26.9,36.6
2016-08-22,"3,222",0.4,30.7,25.8,36.3
2016-08-23,"2,783",8.0,28.3,26.0,33.0
2016-08-24,"2,341",0.0,29.1,26.4,32.9
2016-08-25,"3,232",4.5,27.1,24.0,32.2
2016-08-26,"2,816",20.0,23.0,19.5,28.2
2016-08-27,"5,067",0.0,23.4,16.9,29.7
2016-08-28,"5,762",1.5,21.0,18.3,24.5
2016-08-29,"1,918",0.0,22.2,17.4,27.1
2016-08-30,"2,847",0.0,20.6,17.9,24.5
2016-08-31,"1,848",17.5,17.7,16.1,19.2
2016-09-01,"1,973",0.0,23.2,15.8,28.6
2016-09-02,"3,339",4.5,24.2,20.6,29.0
2016-09-03,"3,718",0.5,23.9,20.4,28.6
2016-09-04,"4,083",0.0,25.6,22.1,29.6
2016-09-05,"4,148",0.0,26.4,23.0,31.1
2016-09-06,"4,383",0.0,24.7,21.0,29.0
2016-09-07,"3,511",0.0,24.3,20.9,28.6
2016-09-08,"5,339",4.5,23.0,21.5,26.5
2016-09-09,"6,994",0.0,23.9,19.7,29.3
2016-09-10,"4,622",0.0,24.4,20.0,29.1
2016-09-11,"8,553",0.0,24.5,22.1,28.2
2016-09-12,"6,065",2.5,23.4,21.4,27.5
2016-09-13,"7,599",0.0,24.6,19.6,30.8
2016-09-14,"6,871",0.0,24.6,21.4,28.9
2016-09-15,"5,432",0.0,23.9,18.8,29.5
2016-09-16,"5,545",0.0,24.6,20.4,29.5
2016-09-17,,7.0,23.1,18.5,28.2
2016-09-18,,0.0,23.5,20.2,28.3
2016-09-19,,0.0,21.9,18.2,27.8
2016-09-20,"6,457",0.0,20.6,15.4,26.8
2016-09-21,"5,300",0.0,20.2,14.3,25.3
2016-09-22,"10,302",0.0,21.9,17.5,27.2
2016-09-23,"9,935",0.0,21.4,16.4,27.9
2016-09-24,"11,616",0.0,22.3,16.5,28.9
2016-09-25,"11,464",0.0,23.0,18.6,29.7
2016-09-26,"12,566",0.0,23.6,19.7,28.9
2016-09-27,"12,727",13.5,21.0,19.1,23.8
2016-09-28,"3,531",0.5,19.9,18.7,21.8
2016-09-29,"3,384",0.0,20.4,18.2,24.8
2016-09-30,"4,333",0.0,20.5,17.7,23.5
2016-10-01,"4,316",0.0,21.1,17.5,25.6
2016-10-02,"4,033",18.5,19.0,16.7,22.4
2016-10-03,"19,458",6.5,22.7,19.6,27.9
2016-10-04,"16,871",0.0,22.0,15.6,29.0
2016-10-05,"4,161",0.0,21.1,17.5,27.2
2016-10-06,"3,996",0.0,18.0,13.6,23.5
2016-10-07,"3,289",2.0,19.7,16.5,24.8
2016-10-08,"2,976",6.0,16.8,10.3,21.8
2016-10-09,"1,066",0.0,11.3,6.5,16.6
2016-10-10,"1,076",0.0,14.0,7.4,21.4
2016-10-11,"1,582",0.0,15.4,10.0,21.1
2016-10-12,"2,632",0.0,15.5,11.4,20.7
2016-10-13,"1,967",0.0,15.2,9.3,21.9
2016-10-14,"1,628",0.0,16.7,10.5,23.5
2016-10-15,"1,922",0.0,19.1,12.4,27.1
2016-10-16,"2,728",1.5,17.2,15.4,19.5
2016-10-17,"1,999",0.0,17.5,14.5,21.7
2016-10-18,"2,381",0.0,17.0,11.2,24.0
2016-10-19,"2,586",0.0,18.0,14.0,24.3
2016-10-20,"2,257",0.0,18.6,12.9,25.8
2016-10-21,"4,279",0.0,17.9,15.7,22.0
2016-10-22,"3,909",0.0,18.3,14.5,22.8
2016-10-23,"3,590",2.5,13.3,10.6,17.8
2016-10-24,920,0.0,15.1,9.0,20.6
2016-10-25,"2,878",37.0,14.1,12.5,17.5
2016-10-26,"1,164",0.0,13.3,10.5,16.3
2016-10-27,"1,120",0.0,14.6,8.6,20.9
2016-10-28,"2,305",0.3,14.6,10.2,18.4
2016-10-29,947,0.0,7.8,3.5,11.2
2016-10-30,57,0.0,7.9,1.6,15.1
2016-10-31,190,0.5,5.7,0.7,8.2
2017-05-01,"1,057",0.0,20.1,12.8,28.3
2017-05-02,"1,347",0.0,20.7,15.2,28.0
2017-05-03,"1,249",0.0,21.5,14.5,30.2
2017-05-04,"1,284",0.0,21.0,14.8,27.5
2017-05-05,"1,187",0.0,20.9,15.5,27.0
2017-05-06,"1,208",0.0,14.9,10.0,19.3
2017-05-07,969,0.0,16.6,10.9,22.8
2017-05-08,"1,115",0.0,17.9,11.1,23.5
2017-05-09,"1,415",2.5,17.1,15.3,22.6
2017-05-10,"1,287",2.5,16.4,14.2,20.8
2017-05-11,"1,304",0.0,19.3,13.1,24.8
2017-05-12,"2,064",0.0,19.1,16.8,21.1
2017-05-13,"1,876",6.0,16.4,12.4,22.6
2017-05-14,"1,330",0.0,15.7,11.0,20.7
2017-05-15,"2,047",0.0,16.0,12.3,20.1
2017-05-16,"1,974",0.0,17.1,13.3,22.3
2017-05-17,"2,031",0.0,18.6,12.3,25.9
2017-05-18,"2,228",0.0,20.4,13.9,26.9
2017-05-19,"2,025",0.0,21.1,15.1,27.9
2017-05-20,"2,086",0.0,20.9,15.4,27.3
2017-05-21,"2,116",0.0,21.5,16.0,27.6
2017-05-22,"2,064",0.0,21.8,15.9,28.0
2017-05-23,"2,099",5.0,20.0,17.2,24.4
2017-05-24,"1,882",0.1,21.8,16.9,27.8
2017-05-25,"3,017",0.0,19.2,14.4,24.4
2017-05-26,"1,921",0.0,17.7,12.4,23.2
2017-05-27,"2,161",0.0,19.5,13.7,26.4
2017-05-28,"2,142",0.0,21.2,14.4,27.9
2017-05-29,"2,293",0.0,22.9,18.1,29.3
2017-05-30,"2,520",0.0,23.6,18.6,30.3
2017-05-31,"2,131",0.0,23.3,17.7,29.6
2017-06-01,"2,081",0.0,23.3,20.0,27.0
2017-06-02,"2,317",0.0,20.5,15.5,25.6
2017-06-03,"1,948",0.0,20.5,16.1,26.5
2017-06-04,"2,043",0.0,21.7,15.1,28.1
2017-06-05,"2,206",0.0,24.2,16.4,30.3
2017-06-06,"2,360",15.5,19.4,14.5,23.9
2017-06-07,"1,292",12.5,17.6,15.1,19.2
2017-06-08,"1,722",0.0,20.1,15.1,25.9
2017-06-09,"2,427",0.1,21.2,17.9,25.7
2017-06-10,"2,442",4.5,21.5,16.7,27.5
2017-06-11,"2,613",0.0,22.8,14.8,29.6
2017-06-12,"2,792",0.0,22.1,17.0,28.0
2017-06-13,"2,697",0.0,21.5,18.3,25.9
2017-06-14,"2,558",0.0,21.8,17.8,26.8
2017-06-15,"2,986",0.0,23.1,18.0,29.6
2017-06-16,"3,272",0.0,25.5,20.0,32.7
2017-06-17,"3,714",0.0,24.2,20.6,29.9
2017-06-18,"3,480",0.0,24.3,18.6,31.8
2017-06-19,"3,947",0.0,24.8,19.5,30.2
2017-06-20,"3,931",0.0,26.0,20.0,32.7
2017-06-21,"3,969",0.0,25.4,21.7,31.6
2017-06-22,"4,069",0.0,25.3,21.2,30.4
2017-06-23,"4,666",0.0,26.7,21.3,34.1
2017-06-24,"5,131",3.5,24.5,21.5,27.8
2017-06-25,"4,714",1.5,23.8,21.0,28.4
2017-06-26,"5,298",29.0,23.1,20.1,29.9
2017-06-27,"5,862",0.0,25.2,20.8,30.5
2017-06-28,"6,250",0.0,26.0,22.5,30.5
2017-06-29,"6,136",0.0,26.2,21.9,31.5
2017-06-30,"6,007",0.0,25.9,22.2,30.9
2017-07-01,"6,183",0.5,25.3,22.4,30.7
2017-07-02,"6,681",92.0,24.3,21.9,26.8
2017-07-03,"5,803",67.5,24.7,21.9,27.4
2017-07-04,"6,094",0.5,26.7,23.8,31.6
2017-07-05,"5,489",0.0,27.4,23.3,32.6
2017-07-06,"4,774",34.0,27.6,23.9,34.6
2017-07-07,"4,894",16.5,26.4,24.4,28.4
2017-07-08,"3,999",4.5,26.0,24.6,27.6
2017-07-09,"4,588",32.5,26.3,23.8,30.3
2017-07-10,"3,794",144.5,24.0,22.6,25.4
2017-07-11,"2,140",1.0,26.0,22.2,30.9
2017-07-12,"3,291",0.0,27.1,24.9,31.1
2017-07-13,"3,067",0.0,27.6,23.1,32.1
2017-07-14,"3,928",0.0,28.7,26.1,33.0
2017-07-15,"4,552",42.5,25.0,23.4,27.3
2017-07-16,"4,428",22.5,26.2,23.4,28.8
2017-07-17,"4,362",7.5,26.8,24.0,29.0
2017-07-18,"5,447",2.5,26.5,23.9,30.7
2017-07-19,"5,155",0.0,28.3,24.5,34.1
2017-07-20,"5,492",0.0,29.9,26.0,34.9
2017-07-21,"6,136",0.0,29.8,27.3,32.4
2017-07-22,"6,299",0.5,29.3,27.5,32.5
2017-07-23,"5,717",133.5,27.0,26.1,28.1
2017-07-24,"5,957",3.0,26.2,25.6,27.3
2017-07-25,"3,849",0.0,29.4,24.6,35.4
2017-07-26,"4,511",0.0,28.7,24.2,32.8
2017-07-27,"4,474",3.5,27.1,24.9,29.7
2017-07-28,"3,590",8.5,25.5,24.8,26.9
2017-07-29,"4,027",0.0,27.2,25.0,30.1
2017-07-30,"4,723",0.0,27.9,24.7,32.6
2017-07-31,"5,016",3.5,25.7,24.8,27.1
2017-08-01,"3,964",2.0,28.6,24.1,33.0
2017-08-02,"4,989",0.0,30.0,26.6,33.0
2017-08-03,"3,903",0.0,30.2,27.2,33.9
2017-08-04,"3,999",0.0,30.3,25.9,35.3
2017-08-05,"3,717",0.0,31.4,27.6,34.8
