date,mosquito_Indicator,rain(mm),mean_T(℃),min_T(℃),max_T(℃)
2020-05-01,842,0.0,20.2,16.4,26.2
2020-05-02,861,0.0,20.3,18.0,23.9
2020-05-03,896,0.0,21.8,17.0,27.4
2020-05-04,"1,304",0.0,20.2,14.8,25.3
2020-05-05,"1,090",0.0,16.0,13.1,19.3
2020-05-06,902,0.0,19.4,11.1,27.6
2020-05-07,"1,367",0.0,20.7,14.9,26.5
2020-05-08,"1,552",2.3,19.9,14.3,27.3
2020-05-09,831,24.4,14.2,12.7,16.8
2020-05-10,785,1.3,14.4,12.8,16.6
2020-05-11,"1,176",3.4,16.5,12.4,22.0
2020-05-12,"1,625",0.7,14.3,10.5,18.9
2020-05-13,"1,328",0.0,16.1,10.2,21.8
2020-05-14,"1,656",0.0,19.3,12.4,25.4
2020-05-15,"1,813",12.0,16.1,14.1,20.2
2020-05-16,979,2.5,16.7,15.0,20.3
2020-05-17,"1,434",0.0,19.1,14.6,24.9
2020-05-18,"1,952",29.8,19.1,13.2,26.8
2020-05-19,"1,338",19.0,13.0,10.1,17.1
2020-05-20,"1,010",0.0,14.4,9.2,20.1
2020-05-21,"1,540",0.0,17.4,10.9,22.9
2020-05-22,"1,890",0.0,18.5,14.8,22.7
2020-05-23,"1,976",0.0,20.1,16.6,25.0
2020-05-24,"2,141",14.5,17.1,14.3,20.2
2020-05-25,"1,874",0.0,16.6,13.7,21.3
2020-05-26,"2,200",1.5,16.2,12.7,22.9
2020-05-27,"2,126",0.0,17.4,11.8,23.9
2020-05-28,"2,571",0.0,18.7,14.2,23.4
2020-05-29,"3,024",0.0,20.7,14.6,27.6
2020-05-30,"3,183",0.0,22.6,16.5,30.0
2020-05-31,"3,038",1.0,21.2,17.6,28.0
2020-06-01,"3,288",0.4,19.7,16.6,24.5
2020-06-02,"3,610",2.0,17.9,14.8,21.8
2020-06-03,"3,106",0.0,22.0,17.6,28.4
2020-06-04,"3,568",0.2,21.9,19.7,26.5
2020-06-05,"3,771",0.0,23.0,18.4,28.7
2020-06-06,"3,982",0.0,24.6,19.2,30.9
2020-06-07,"3,564",0.0,22.7,19.2,29.2
2020-06-08,"3,621",0.0,25.0,19.8,32.0
2020-06-09,"3,263",0.0,26.7,20.3,32.8
2020-06-10,"3,266",6.2,25.8,22.5,32.1
2020-06-11,"3,087",0.0,26.1,21.7,31.6
2020-06-12,"3,646",0.0,24.7,21.6,27.6
2020-06-13,"3,297",0.0,26.9,20.6,33.5
2020-06-14,"2,824",1.1,24.0,20.1,28.8
2020-06-15,"3,102",0.0,23.0,18.2,28.6
2020-06-16,"3,148",0.0,24.4,20.0,30.7
2020-06-17,"2,997",0.0,24.3,20.2,30.3
2020-06-18,"3,417",0.0,23.4,20.3,27.3
2020-06-19,"3,220",0.1,24.7,21.1,30.0
2020-06-20,"3,476",0.0,24.9,20.7,29.7
2020-06-21,"3,059",0.0,26.1,19.5,32.7
2020-06-22,"2,865",0.0,28.6,21.7,35.4
2020-06-23,"2,393",0.0,27.3,23.2,31.0
2020-06-24,"2,355",37.6,22.3,19.9,26.3
2020-06-25,"1,888",13.3,21.6,20.1,23.4
2020-06-26,"2,035",2.1,21.8,19.2,25.7
2020-06-27,"2,917",0.0,24.1,20.4,29.6
2020-06-28,"2,800",0.0,25.2,21.5,30.1
2020-06-29,"2,822",11.9,23.8,20.6,26.5
2020-06-30,"2,181",64.7,20.1,18.4,23.1
2020-07-01,"2,341",0.0,21.1,18.1,24.3
2020-07-02,"2,898",0.0,24.2,20.4,29.8
2020-07-03,"2,971",0.1,25.5,21.6,30.6
2020-07-04,"3,331",1.6,24.2,20.4,29.5
2020-07-05,"3,267",0.0,23.8,19.9,27.6
2020-07-06,"3,183",0.0,25.6,21.8,30.9
